" important for async scenario we must remove context from current thread so we always createnew rpccontext for  next invoke for  same thread	 ",positive
" todo outputeventlistener  buildstardinput are perbuild settings so down  road we should refactor  code accordingly  potentially attach m to buildactionparameters	 ",positive
" exposes methods for those properties whose value isclosure todo use composition instead of inheritance 	 ",positive
" platform specific arguments todo need to lazily configure compile task	 ",positive
" if this occurs while running gradle or running integration tests it is indicative ofproblem if this occurs while running unit tests n eir use  nativeservicestestfixture or  usesnativeservices annotation	 ",positive
" ugly but re arefew places where we need to instantiatejavadebugoptions regular objectfactory service is not available	 ",positive
" todo adding  parent project first because  converter needs it this way atm this is oversimplified  converter should not depend on  order of reactor projects we should add coverage for nested multiproject builds with multiple parents	 ",positive
" re spossibility that this listener is called concurrently with  build finished listener if  message happens to begraceful expire one n re slarge risk that we createdeadlock because we re trying to remove  same listener from different notifications to avoid this we just set  reference to null which says that we re taking care of removing  listener	 ",positive
" todo need to track versionimplementation of ar tool	 ",positive
" this is copied from ant see orgapachetoolsantutilfileutilstryhardtodelete it mentions that re isbug in  windows jdk impls that this isvalid workaround for i ve been unable to finddefinitive reference to this bug  thinking is that if this is good enough for ant it s good enough for us	 ",positive
" todo change this to only add swift api artifacts  instead parse modulemaps to discover compile task inputs	 ",positive
" rough implementation to get something to work	 ",positive
" todo remove se special cases	 ",positive
" todo this is notgreat paradigm for creatingtemporary directory see httpguavalibrariesgooglecodecomsvntagsrelease javadoccomgooglecommoniofileshtml createtempdir for an alternative	 ",positive
" todo this should be part of  cached result 	 ",positive
" implementation is currently dumb can be made smarter	 ",positive
" todorbo clarify what it means  what s possible to do with it todorbo eg can  return value always be used to resolve back to  identified component if so how todorbo wouldn t it be better to defineproper type for projectmodel paths 	 ",positive
